id,sp1,sp2,sp3,sp4,sp5,sp6,sp7,task,sound,total,order
49,2,4,6,7,7,8,4,verbal,changing,38,Spatial
50,0,0,0,1,1,3,3,verbal,changing,8,Verbal
51,2,3,4,7,5,9,9,verbal,changing,39,Spatial
52,1,6,5,11,13,10,10,verbal,changing,56,Verbal
53,2,7,10,11,14,13,10,verbal,changing,67,Verbal
54,3,5,8,13,8,10,8,verbal,changing,55,Verbal
55,6,9,9,12,13,11,11,verbal,changing,71,Spatial
56,14,12,15,13,15,14,14,verbal,changing,97,Spatial
57,3,9,8,10,13,14,10,verbal,changing,67,Spatial
58,4,7,9,11,9,9,7,verbal,changing,56,Verbal
59,0,0,3,4,3,3,3,verbal,changing,16,Spatial
60,13,14,14,14,13,15,14,verbal,changing,97,Verbal
61,3,3,6,8,11,9,7,verbal,changing,47,Spatial
62,3,6,8,9,10,11,9,verbal,changing,56,Verbal
63,4,3,3,8,9,11,7,verbal,changing,45,Spatial
64,2,3,1,5,8,5,7,verbal,changing,31,Verbal
